,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-09-18,7.55,7.75,7.1275,7.35,7.285125,1078800.0
1,2020-09-21,7.0325,7.225,7.025,7.105,7.042287,2647600.0
2,2020-09-22,7.02,7.205,7.0125,7.1,7.037331,3396000.0
3,2020-09-23,7.0025,7.33,6.91,7.1375,7.0745,3934800.0
4,2020-09-24,7.1375,7.245,7.0,7.025,6.962994,1142800.0
5,2020-09-25,7.025,7.0475,6.95,6.975,6.913435,2136400.0
6,2020-09-28,7.0125,7.0575,6.5325,6.5325,6.474841,3048000.0
7,2020-09-29,6.675,6.675,6.25,6.3725,6.316253,1795200.0
8,2020-09-30,6.365,6.485,6.315,6.3525,6.29643,1528400.0
9,2020-10-01,6.3325,6.59,6.165,6.59,6.531833,3453200.0
10,2020-10-02,6.495,6.5175,6.3175,6.3725,6.316253,1757200.0
11,2020-10-05,6.45,6.575,6.2775,6.575,6.516965,1190800.0
12,2020-10-06,6.5375,6.8,6.42,6.4525,6.395547,945600.0
13,2020-10-07,6.56,6.67,6.405,6.59,6.531833,874400.0
14,2020-10-08,6.59,6.715,6.425,6.5,6.442627,1190400.0
15,2020-10-09,6.5075,6.935,6.505,6.8275,6.767237,1344800.0
16,2020-10-13,6.9775,7.0225,6.875,6.875,6.814318,881600.0
17,2020-10-14,6.875,7.125,6.7725,6.8425,6.782104,883600.0
18,2020-10-15,6.785,6.9925,6.645,6.7575,6.697855,966800.0
19,2020-10-16,6.805,7.0475,6.7575,7.025,6.962994,1170400.0
20,2020-10-19,7.0,7.2125,6.9425,7.0725,7.010075,1042400.0
21,2020-10-20,7.0725,7.26,7.0025,7.25,7.186007,1458400.0
22,2020-10-21,7.25,7.3025,7.0575,7.25,7.186007,1002400.0
23,2020-10-22,7.1925,7.4525,7.1625,7.3725,7.307426,1927200.0
24,2020-10-23,7.3825,7.435,7.255,7.3,7.235567,1087200.0
25,2020-10-26,7.2475,7.2625,7.005,7.1075,7.044765,615200.0
26,2020-10-27,7.15,7.2075,6.8775,6.8975,6.836619,1304800.0
27,2020-10-28,6.7275,6.7275,6.375,6.4525,6.395547,1720800.0
28,2020-10-29,6.4275,6.7,6.21,6.6025,6.544222,1366800.0
29,2020-10-30,6.6625,6.6625,6.21,6.4225,6.365811,1814400.0
30,2020-11-03,6.6,6.75,6.4975,6.6875,6.628472,2076400.0
31,2020-11-04,6.75,7.21,6.715,7.095,7.032375,1240800.0
32,2020-11-05,7.2125,7.35,7.13,7.2175,7.153795,1365200.0
33,2020-11-06,7.1875,7.725,7.14,7.6475,7.579999,1896400.0
34,2020-11-09,7.75,7.88,7.4025,7.5,7.433801,1301600.0
35,2020-11-10,7.3775,7.66,7.3775,7.4225,7.356985,979200.0
36,2020-11-11,7.475,7.57,7.275,7.5,7.433801,1172800.0
37,2020-11-12,7.4025,7.5325,7.1925,7.3,7.235567,1313200.0
38,2020-11-13,7.5,7.6325,7.245,7.395,7.329728,1440800.0
39,2020-11-16,7.45,7.5425,7.1375,7.345,7.280169,1263600.0
40,2020-11-17,7.295,7.385,7.1625,7.345,7.280169,1569600.0
41,2020-11-18,7.3975,7.44,7.1425,7.1875,7.124059,1064800.0
42,2020-11-19,7.1875,7.375,7.04,7.33,7.265301,1422800.0
43,2020-11-23,7.41,7.6,7.3725,7.5325,7.466014,1462800.0
44,2020-11-24,7.6,7.8,7.4875,7.75,7.681594,1597600.0
45,2020-11-25,7.68,7.77,7.525,7.7,7.632035,1448400.0
46,2020-11-26,7.7,7.75,7.585,7.6325,7.565132,419600.0
47,2020-11-27,7.6325,7.7375,7.5525,7.555,7.488315,1020000.0
48,2020-11-30,7.5525,7.745,7.41,7.41,7.344595,2186400.0
49,2020-12-01,7.7475,8.125,7.6025,8.0,7.929388,4702000.0
50,2020-12-02,8.0,8.1075,7.86,8.0,7.929388,1535600.0
51,2020-12-03,8.075,8.1475,7.93,8.1,8.028505,2066400.0
52,2020-12-04,8.15,8.15,7.8675,7.9375,7.867439,1503200.0
53,2020-12-07,7.9325,8.105,7.8,8.04,7.969035,1565200.0
54,2020-12-08,7.95,8.2,7.84,7.95,7.879829,1534400.0
55,2020-12-09,7.98,8.0375,7.705,7.835,7.765844,1141600.0
56,2020-12-10,7.8325,7.955,7.625,7.9,7.83027,1079200.0
57,2020-12-11,7.8525,7.875,7.56,7.7975,7.728675,1047200.0
58,2020-12-14,7.7525,7.93,7.68,7.76,7.691506,1050000.0
59,2020-12-15,7.76,7.9675,7.655,7.945,7.874874,1465600.0
60,2020-12-16,7.975,7.9975,7.7375,7.85,7.780712,1129200.0
61,2020-12-17,7.85,7.9725,7.7125,7.75,7.681594,1266000.0
62,2020-12-18,7.6825,7.805,7.495,7.5625,7.495749,1840000.0
63,2020-12-21,7.4175,7.525,7.2025,7.4175,7.352029,1744000.0
64,2020-12-22,7.46,7.675,7.3025,7.3375,7.272735,1823200.0
65,2020-12-23,7.59,7.9825,7.56,7.9225,7.852572,4080000.0
66,2020-12-28,7.9725,8.535,7.94,8.525,8.449754,3343600.0
67,2020-12-29,8.5375,8.6575,8.32,8.5725,8.496834,3073200.0
68,2020-12-30,8.675,8.9775,8.6025,8.8675,8.789231,5892000.0
69,2021-01-04,8.975,8.9925,8.32,8.455,8.380372,5671600.0
70,2021-01-05,8.375,8.72,8.1025,8.54,8.464622,3756400.0
71,2021-01-06,8.54,8.62,8.23,8.23,8.157357,3417200.0
72,2021-01-07,8.255,8.415,8.0925,8.0975,8.054558,2430000.0
73,2021-01-08,8.0875,8.585,8.0875,8.4675,8.422595,2155200.0
74,2021-01-11,8.405,8.9,8.3225,8.9,8.852801,3516400.0
75,2021-01-12,8.94,9.17,8.625,8.99,8.942325,4386400.0
76,2021-01-13,8.975,9.3975,8.665,8.8375,8.790633,2476400.0
77,2021-01-14,8.965,9.1375,8.8025,9.0425,8.994546,2434000.0
78,2021-01-15,9.0425,9.045,8.775,8.9275,8.880156,1456000.0
79,2021-01-18,8.9575,9.25,8.95,9.21,9.161158,1766000.0
80,2021-01-19,9.6,9.6,9.0475,9.35,9.300416,3836800.0
81,2021-01-20,9.3875,9.45,9.0,9.1375,9.089043,2146000.0
82,2021-01-21,9.14,9.2,8.73,8.9125,8.865236,1856400.0
83,2021-01-22,8.7725,8.905,8.53,8.6575,8.611588,2058400.0
84,2021-01-26,8.6475,8.7275,8.2275,8.2475,8.203763,2312000.0
85,2021-01-27,8.2875,8.7525,8.17,8.435,8.390268,3818000.0
86,2021-01-28,8.5075,8.9875,8.405,8.8025,8.755818,7883200.0
87,2021-01-29,9.0,9.305,8.65,8.85,8.803067,7872800.0
88,2021-02-01,9.0,9.5725,8.8025,9.425,9.375018,6144400.0
89,2021-02-02,9.425,9.7375,9.425,9.6025,9.551577,5241600.0
90,2021-02-03,9.6025,10.0,9.5225,9.9,9.847499,2256400.0
91,2021-02-04,10.0025,10.3225,9.9025,10.055,10.001678,3881200.0
92,2021-02-05,10.1175,11.0,10.0,10.5725,10.516433,28684400.0
93,2021-02-08,10.575,10.8875,10.38,10.81,10.752673,3516800.0
94,2021-02-09,10.935,10.935,10.5825,10.595,10.538814,2403600.0
95,2021-02-10,10.6075,10.67,10.255,10.4325,10.377174,1958000.0
96,2021-02-11,10.4325,10.7625,10.3625,10.475,10.41945,1824800.0
97,2021-02-12,10.445,10.525,10.21,10.41,10.354795,1699200.0
98,2021-02-17,,,,,,
99,2021-02-18,10.5075,10.7,10.065,10.255,10.200617,2015200.0
100,2021-02-19,10.25,10.44,10.075,10.275,10.22051,1763600.0
101,2021-02-22,9.75,10.3775,9.5325,10.015,9.961889,4046400.0
102,2021-02-23,10.04,10.175,9.8475,9.95,9.897234,2302800.0
103,2021-02-24,9.9525,10.1725,9.8625,9.9425,9.889773,2822000.0
104,2021-02-25,9.9425,10.0025,9.3525,9.525,9.474487,2415200.0
105,2021-02-26,9.6325,9.6725,9.22,9.3875,9.337716,3173200.0
106,2021-03-01,9.3875,9.57,9.15,9.245,9.195972,3081600.0
107,2021-03-02,9.095,9.5025,8.855,9.3625,9.312849,2487200.0
108,2021-03-03,9.445,9.445,8.78,9.1025,9.054228,2737600.0
109,2021-03-04,9.125,9.42,8.8775,9.0225,8.974652,2600800.0
110,2021-03-05,9.125,9.1925,8.67,9.1425,9.094016,4610800.0
111,2021-03-08,9.0,9.0275,8.3,8.3825,8.338046,6473600.0
112,2021-03-09,8.4975,8.67,8.1825,8.3,8.255984,3257600.0
113,2021-03-10,8.4625,8.4625,8.03,8.2325,8.188842,6705200.0
114,2021-03-11,8.52,8.99,8.52,8.8925,8.845342,4590800.0
115,2021-03-12,8.9725,8.9725,8.6675,8.775,8.728464,2069600.0
116,2021-03-15,8.7775,8.9975,8.71,8.8125,8.765766,2300800.0
117,2021-03-16,8.8175,9.465,8.815,9.2575,9.208405,3926800.0
118,2021-03-17,9.1025,9.42,9.0375,9.325,9.275548,2923200.0
119,2021-03-18,9.325,9.72,9.0375,9.1175,9.069149,3137600.0
120,2021-03-19,9.0925,9.3,8.9325,9.175,9.126344,2118400.0
121,2021-03-22,9.1425,9.3225,8.95,9.3,9.250681,1876000.0
122,2021-03-23,9.25,9.275,8.9225,9.05,9.002007,1710400.0
123,2021-03-24,9.0225,9.1125,8.5525,8.6625,8.616562,2020800.0
124,2021-03-25,8.65,9.12,8.4725,9.0325,8.9846,2641200.0
125,2021-03-26,9.0525,9.2275,8.81,8.9125,8.865236,2156400.0
126,2021-03-29,8.85,8.995,8.6525,8.76,8.713545,1293600.0
127,2021-03-30,8.7625,9.1275,8.705,9.0475,8.999519,1980400.0
128,2021-03-31,9.055,9.3975,8.9625,9.34,9.290469,2982800.0
129,2021-04-01,9.5775,9.58,9.2675,9.3275,9.278035,2450800.0
130,2021-04-05,9.5,9.5625,9.3325,9.48,9.429726,1677200.0
131,2021-04-06,9.495,9.875,9.46,9.85,9.797765,3369200.0
132,2021-04-07,9.825,9.915,9.62,9.765,9.713215,1738800.0
133,2021-04-08,9.77,10.0675,9.71,9.8975,9.845012,1420000.0
134,2021-04-09,9.9175,10.2625,9.7875,10.1375,10.083739,2047200.0
135,2021-04-12,10.15,10.15,9.8875,9.975,9.922102,1621200.0
136,2021-04-13,9.9725,9.9725,9.67,9.785,9.733109,1399600.0
137,2021-04-14,9.765,9.9575,9.6,9.6475,9.596338,1722400.0
138,2021-04-15,9.6525,9.895,9.6525,9.77,9.718188,1849600.0
139,2021-04-16,9.7725,9.975,9.625,9.975,9.922102,1549200.0
140,2021-04-19,9.95,10.2175,9.95,10.125,10.071305,1904800.0
141,2021-04-20,10.1275,10.3475,9.91,10.0125,9.959402,2100800.0
142,2021-04-22,10.09,10.105,9.7075,9.74,9.688347,2168000.0
143,2021-04-23,9.85,9.8775,9.49,9.675,9.623693,1806000.0
144,2021-04-26,9.735,9.735,9.5,9.605,9.554063,1672800.0
145,2021-04-27,9.5825,9.995,9.5625,9.745,9.69332,2745200.0
146,2021-04-28,9.745,10.4775,9.74,10.4375,10.382149,4391200.0
147,2021-04-29,10.44,10.72,10.1925,10.645,10.588549,4602400.0
148,2021-04-30,10.55,10.815,10.28,10.815,10.815,4710800.0
149,2021-05-03,10.975,11.0,10.535,10.875,10.875,4450400.0
150,2021-05-04,10.8775,11.1875,10.77,11.07,11.07,3270400.0
151,2021-05-05,11.235,11.7475,11.125,11.4425,11.4425,3988000.0
152,2021-05-06,11.4425,11.55,11.275,11.425,11.425,2060400.0
153,2021-05-07,11.67,11.675,11.3875,11.65,11.65,2219200.0
154,2021-05-10,11.65,11.7125,11.325,11.3875,11.3875,1959600.0
155,2021-05-11,11.325,11.525,11.0625,11.52,11.52,2025600.0
156,2021-05-12,11.5175,11.5175,10.945,11.2725,11.2725,2688800.0
157,2021-05-13,11.3275,11.7275,11.2725,11.69,11.69,2938400.0
158,2021-05-14,11.7525,11.875,11.3125,11.35,11.35,2019600.0
159,2021-05-17,11.275,11.8175,11.205,11.735,11.735,2193600.0
160,2021-05-18,11.8275,12.1575,11.6775,11.8125,11.8125,2385200.0
161,2021-05-19,11.8575,12.0175,11.68,11.95,11.95,2270400.0
162,2021-05-20,12.0175,12.2675,11.955,12.225,12.225,1834800.0
163,2021-05-21,12.325,12.325,12.025,12.2725,12.2725,1306800.0
164,2021-05-24,12.1225,12.37,12.025,12.23,12.23,1801200.0
165,2021-05-25,12.2925,12.505,12.175,12.4025,12.4025,1546000.0
166,2021-05-26,12.4,12.54,12.0425,12.4,12.4,1674000.0
167,2021-05-27,12.455,12.495,12.1925,12.495,12.495,2684800.0
168,2021-05-28,12.4675,12.6075,12.27,12.4225,12.4225,1681200.0
169,2021-05-31,12.4375,12.99,12.4375,12.99,12.99,2622800.0
170,2021-06-01,13.0425,13.4725,12.92,13.25,13.25,3541200.0
171,2021-06-02,13.4425,13.4425,13.125,13.25,13.25,1647600.0
172,2021-06-04,13.25,13.375,13.085,13.25,13.25,1805600.0
173,2021-06-07,13.1775,13.395,13.0,13.15,13.15,2120000.0
174,2021-06-08,13.125,13.2425,12.835,13.0875,13.0875,2013600.0
175,2021-06-09,13.11,13.1975,12.9625,13.15,13.15,1243200.0
176,2021-06-10,13.25,13.36,13.1125,13.25,13.25,1893200.0
177,2021-06-11,13.1775,13.1775,12.615,13.0325,13.0325,1710800.0
178,2021-06-14,13.1175,13.85,13.0075,13.75,13.75,3549200.0
179,2021-06-15,13.76,13.9675,13.3425,13.6,13.6,3258400.0
180,2021-06-16,13.625,13.7475,13.365,13.7,13.7,1562800.0
181,2021-06-17,13.775,13.82,13.4025,13.75,13.75,1794800.0
182,2021-06-18,13.8,14.0875,13.565,13.9225,13.9225,3475200.0
183,2021-06-21,14.12,14.3425,13.81,14.1125,14.1125,1496800.0
184,2021-06-22,14.11,14.13,13.725,13.75,13.75,1742000.0
185,2021-06-23,13.82,13.9125,13.5775,13.825,13.825,2529200.0
186,2021-06-24,14.01,14.0125,13.41,13.7475,13.7475,2900400.0
187,2021-06-25,13.5725,13.75,13.4225,13.6175,13.6175,1852800.0
188,2021-06-28,13.455,13.9875,13.455,13.6925,13.6925,2703600.0
189,2021-06-29,13.6825,13.815,13.1375,13.7,13.7,2652400.0
190,2021-06-30,13.515,13.905,13.4925,13.905,13.905,2860800.0
191,2021-07-01,14.125,14.52,13.93,13.94,13.94,3982400.0
192,2021-07-02,14.2125,14.97,14.2125,14.7775,14.7775,4537200.0
193,2021-07-05,14.7525,14.975,14.635,14.8375,14.8375,1163200.0
194,2021-07-06,14.8375,14.8375,14.35,14.65,14.65,1810000.0
195,2021-07-07,14.65,15.0625,14.6,14.8325,14.8325,1831600.0
196,2021-07-08,14.6725,14.8325,14.44,14.8325,14.8325,2083600.0
197,2021-07-12,14.995,15.42,14.8575,15.4025,15.4025,1772800.0
198,2021-07-13,15.2875,15.4925,15.1925,15.47,15.47,1592400.0
199,2021-07-14,15.475,15.845,15.345,15.755,15.755,1761200.0
200,2021-07-15,15.7775,16.084999,15.5525,15.925,15.925,2031600.0
201,2021-07-16,16.065001,16.235001,15.7425,16.1,16.1,2097200.0
202,2021-07-19,15.8725,16.285,15.67,16.09,16.09,1733600.0
203,2021-07-20,16.127501,16.555,16.0275,16.440001,16.440001,1331600.0
204,2021-07-21,16.512501,16.655001,16.25,16.555,16.555,2100400.0
205,2021-07-22,16.605,17.139999,16.565001,16.875,16.875,2336400.0
206,2021-07-23,16.91,17.125,16.76,16.950001,16.950001,1638000.0
207,2021-07-26,17.049999,17.049999,16.532499,16.825001,16.825001,2481600.0
208,2021-07-27,16.77,16.887501,16.385,16.445,16.445,2064800.0
209,2021-07-28,16.512501,17.094999,16.067499,16.4625,16.4625,2514800.0
210,2021-07-29,16.532499,17.622499,16.532499,17.25,17.25,2772000.0
211,2021-07-30,17.225,17.66,17.0075,17.4125,17.4125,3096400.0
212,2021-08-02,17.66,17.887501,17.3575,17.475,17.475,2371200.0
213,2021-08-03,17.4125,17.415001,16.889999,17.125,17.125,2934400.0
214,2021-08-04,17.125,17.25,16.639999,16.657499,16.657499,2526800.0
215,2021-08-05,16.6775,16.9925,16.295,16.487499,16.487499,2394400.0
216,2021-08-06,16.762501,16.775,16.275,16.475,16.475,1368800.0
217,2021-08-09,16.6975,17.002501,16.52,16.91,16.91,2046000.0
218,2021-08-10,17.049999,17.215,16.549999,16.549999,16.549999,2372400.0
219,2021-08-11,16.6,16.99,15.74,16.280001,16.280001,2475500.0
220,2021-08-12,15.93,17.440001,15.92,16.4,16.4,3135500.0
221,2021-08-13,16.5,16.549999,15.2,15.85,15.85,3924100.0
222,2021-08-16,15.74,15.74,13.57,14.34,14.34,13348800.0
223,2021-08-17,13.8,14.35,13.1,14.35,14.35,8565600.0
224,2021-08-18,14.2,14.78,13.92,14.4,14.4,4097800.0
225,2021-08-19,13.9,14.95,13.59,14.8,14.8,3476900.0
226,2021-08-20,14.73,15.03,14.39,14.9,14.9,2372100.0
227,2021-08-23,14.94,15.33,14.7,15.02,15.02,2188300.0
228,2021-08-24,15.46,15.57,15.1,15.37,15.37,1671100.0
229,2021-08-25,15.37,15.89,15.25,15.6,15.6,2197600.0
230,2021-08-26,15.55,15.78,15.06,15.21,15.21,2719800.0
231,2021-08-27,15.35,16.280001,15.1,16.200001,16.200001,3268000.0
232,2021-08-30,16.200001,16.6,15.41,15.48,15.48,2805400.0
233,2021-08-31,15.48,15.58,14.47,14.85,14.85,3411000.0
234,2021-09-01,14.85,15.24,14.38,14.87,14.87,3503600.0
235,2021-09-02,14.87,14.91,14.04,14.18,14.18,3412000.0
236,2021-09-03,14.3,14.45,13.87,14.0,14.0,4738000.0
237,2021-09-06,13.91,14.48,13.91,14.41,14.41,1056500.0
238,2021-09-08,14.31,14.6,13.6,13.69,13.69,2519000.0
239,2021-09-09,13.42,14.4,13.31,14.0,14.0,3080700.0
240,2021-09-10,14.54,14.65,13.78,14.09,14.09,3029300.0
241,2021-09-13,14.19,15.0,14.07,14.81,14.81,2477700.0
242,2021-09-14,14.88,15.11,14.45,14.73,14.73,1874400.0
243,2021-09-15,14.71,14.84,14.35,14.72,14.72,1104000.0
244,2021-09-16,14.63,14.91,14.39,14.4,14.4,1231300.0
245,2021-09-17,14.34,14.54,13.97,13.97,13.97,5612200.0
246,2021-09-20,13.63,13.75,13.26,13.52,13.52,2297900.0
247,2021-09-21,13.74,14.09,13.45,14.02,14.02,1324000.0
248,2021-09-22,14.5,14.75,14.11,14.25,14.25,1800000.0
249,2021-09-23,14.16,14.93,14.16,14.7,14.7,2788500.0
250,2021-09-24,14.65,14.65,14.2,14.48,14.48,2194800.0
251,2021-09-27,14.66,14.73,14.3,14.55,14.55,1327000.0
252,2021-09-28,14.4,14.43,13.67,13.89,13.89,2040500.0
253,2021-09-29,14.04,14.2,13.68,13.8,13.8,1160600.0
254,2021-09-30,13.9,13.92,13.46,13.67,13.67,1978500.0
255,2021-10-01,13.84,14.04,13.55,14.0,14.0,1808800.0
256,2021-10-04,13.99,14.04,13.35,13.35,13.35,1153000.0
257,2021-10-05,13.37,13.41,12.91,13.09,13.09,2474400.0
258,2021-10-06,12.85,13.2,12.51,13.2,13.2,2399700.0
259,2021-10-07,13.51,13.57,13.1,13.21,13.21,1399700.0
260,2021-10-08,13.32,13.72,13.25,13.45,13.45,1965900.0
261,2021-10-11,13.44,13.76,13.27,13.47,13.47,1541000.0
262,2021-10-13,13.54,13.98,13.42,13.62,13.62,1340300.0
263,2021-10-14,13.71,13.93,13.38,13.63,13.63,1271000.0
264,2021-10-15,13.85,14.87,13.67,14.63,14.63,4151600.0
265,2021-10-18,14.88,15.31,14.37,14.7,14.7,3431800.0
266,2021-10-19,14.78,14.8,13.49,13.76,13.76,2998900.0
267,2021-10-20,13.9,13.95,12.97,13.36,13.36,2655300.0
268,2021-10-21,12.8,13.12,12.12,12.55,12.55,3816000.0
269,2021-10-22,12.3,12.3,11.08,11.79,11.79,6371900.0
